Year,State,URL
2024,New Mexico,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/New_Mexico_PYs_2024-2027.docx
2024,New York,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/New_York_PYs_2024-2027.docx
2024,North Carolina,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/North_Carolina_PYs_2024-2027.docx
2024,North Dakota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/North_Dakota_PYs_2024-2027.docx
2024,Northern Marianas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Northern_Marianas_PYs_2024-2027.docx
2024,Ohio,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Ohio_PYs_2024-2027.docx
2024,Oklahoma,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Oklahoma_PYs_2024-2027.docx
2024,Oregon,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Oregon_PYs_2024-2027.docx
2024,Palau,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Palau_PYs_2024-2027.docx
2024,Pennsylvania,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Pennsylvania_PYs_2024-2027.docx
2024,Puerto Rico,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Puerto_Rico_PYs_2024-2027.docx
2024,Rhode Island,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Rhode_Island_PYs_2024-2027.docx
2024,South Carolina,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/South_Carolina_PYs_2024-2027.docx
2024,South Dakota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/South_Dakota_PYs_2024-2027.docx
2024,Tennessee,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Tennessee_PYs_2024-2027.docx
2024,Texas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Texas_PYs_2024-2027.docx
2024,Utah,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Utah_PYs_2024-2027.docx
2024,Vermont,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Vermont_PYs_2024-2027.docx
2024,Virgin Islands,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Virgin_Islands_PYs_2024-2027.docx
2024,Virginia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Virginia_PYs_2024-2027.docx
2024,Washington,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Washington_PYs_2024-2027.docx
2024,West Virginia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/West_Virginia_PYs_2024-2027.docx
2024,Wisconsin,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Wisconsin_PYs_2024-2027.docx
2024,Wyoming,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Wyoming_PYs_2024-2027.docx
